いりこ,52,
いるか,245,
いろは,249,
いろは歌,3,
いろり,152,
いわき,29,
いわく,131,
いわし,209,
いわし雲,1,
いわれ,264,
いんか,35,
いんきょ,67,
いんせい,50,
いんちき,31,
いんとん,26,
いんぴ,2,
いんぺい,37,
いんぼつ,2,
いんめつ,62,
いん滅,1,
いん石,3,
い使,11,
い怖,21,
い敬,2,
い服,45,
い死,99,
い縮,3,
い草,116,
い集,13,
うえ,876,
うかい,257,
うかうか,165,
うかんむり,2,
うきょく,20,
うきよ,126,
うぐいす,261,
うこぎ,8,
うさ,709,
うさぎ,218,
うし,4388,
うしろ姿,292,
うしろ足,4,
うじ,1263,
うじうじ,18,
うじ虫,13,
うす皮,6,
うす緑,26,
うす茶,10,
うず,1066,
うずうず,48,
うずら,102,
うそ,1502,
うそ八百,2,
うた,2106,
うたい文句,3,
うたかた,63,
うたた寝,73,
うたびと,19,
うだつ,554,
うち,4339,
うちの人,108,
うちわ,435,
うちわ太鼓,1,
うっかり,592,
うっくつ,19,
うっけつ,13,
うってつけ,61,
うっぷん,83,
うっ憤,1,
うっ積,2,
うっ血,2,
うつ,1760,
うつけ,79,
うつし絵,5,
うつせみ,67,
うつつ,538,
うつほ,3,
うつり気,2,
うつり香,11,
うつわ,139,
うとうと,5,
うど,757,
うどん,277,
うどん粉,23,
うなぎ,306,
うなじ,213,
うなばら,102,
うな丼,4,
うな重,4,
うに,2297,
うねり,370,
うのみ,37,
うの花,18,
うば,566,
うばら,37,
うば桜,1,
うば車,3,
うぶ声,7,
うま,1423,
うまごやし,25,
うまずめ,19,
うまみ,47,
うま味,23,
うま煮,9,
うめ,513,
うめき声,125,
うらがね,4,
うらはら,45,
うらみ,253,
うら口,8,
うら盆,4,
うり,997,
うりざね顔,3,
うり二つ,3,
うるう,48,
うるうる,9,
うるか,81,
うるささ,59,
うるさ型,4,
うれし泣き,20,
うろ,553,
うろうろ,5,
うろこ,275,
うろちょろ,4,
うろ覚え,79,
うわき,43,
うわさ,1012,
うわなり,5,
うわの空,35,
うわべ,224,
うわ言,25,
うんい,12,
うんか,50,
うんこ,38,
うんざり,4,
うんざん,2,
うんじょう,24,
うんそう,12,
うんちく,43,
うんぬん,282,
うんぱん,17,
うん気,3,
う化,3,
う曲,2,
えいけつ,6,
えいこう,14,
えいだつ,1,
えがお,142,
えきさく,10,
えご,40,
えさ,346,
えじき,102,
えたい,256,
えっけん,27,
えっそ,2,
えっぷく,5,
えっぺい,9,
えつ,363,
えつねん,1,
えと,72,
えな,343,
えのこ,22,
えのころぐさ,1,
えび,423,
えびす講,2,
えびす顔,7,
えび茶,4,
えみし,25,
えり,1183,
えり好み,7,
えり足,4,
えんえき,33,
えんか,93,
えんこ,130,
えんご,54,
えんさ,108,
えんざん,21,
えんじょ,15,
えんせん,4,
えんぜつ,16,
えんび,72,
えんぴつ,50,
えんぺい,20,
えん曲,1,
おあいそ,27,
おい,1681,
おいてきぼり,28,
おいてけぼり,22,
おいで,1600,
おいど,9,
おいどん,5,
おいらん,194,
おういつ,31,
おうか,193,
おうが,30,
おうこう,22,
おうさつ,27,
おうしょう,19,
おうじ,139,
おうじょう,39,
おうと,298,
おうなつ,2,
おうのう,133,
おうむ,159,
おうよう,319,
おう吐,1,
おえつ,182,
おえら方,3,
おおがい,6,
おおぐま,3,
おおざと,55,
おおつごもり,4,
おおばこ,11,
おかあさん,189,
おかえし,39,
おかか,23,
おかき,54,
おかけ,343,
おかげ,1342,
おかし,233,
おかず,222,
おかちん,5,
おかど違い,2,
おかみ,832,
おかゆ,48,
おから,125,
おかわ,95,
おがくず,39,
おが屑,7,
おくそく,66,
おくだん,14,
おくて,21,
おくび,269,
おくら,80,
おくるみ,5,
おくれ毛,68,
おぐら,6,
おけら,23,
おこ,1077,
おこし,94,
おこた,132,
おこも,8,
おこわ,17,
おご,537,
おごのり,1,
おごり,74,
おさつ,14,
おさらば,136,
おさんどん,24,
おし,1708,
おしおき,73,
おしくら,4,
おしっこ,44,
おしどり,42,
おしどり夫婦,1,
おしまい,1106,
おしめ,110,
おしゃか,8,
おしゃぶり,6,
おしゃべり,359,
おしゃま,9,
おしゃれ,32,
おしらせ,43,
おしら様,1,
おしり,64,
おしろい,541,
おしろい花,2,
おじ,617,
おじいさん,388,
おじいちゃま,4,
おじいちゃん,22,
おじぎ,315,
おじさん,434,
おじゃま,40,
おじゃん,30,
おじや,24,
おじょうさん,28,
おすすめ,131,
おすそ分け,7,
おすべらかし,8,
おすわり,36,
おせっかい,115,
おそろい,36,
おたおた,4,
おたずね者,4,
おたふく,22,
おたまりこぼし,2,
おたんこなす,1,
おだまき,31,
おちゃっぴい,5,
おちょこ,3,
おちょぼ口,21,
おっかさん,174,
おっくう,185,
おっさん,41,
おっちゃん,9,
おっちょこちょい,47,
おっぱい,31,
おつき,219,
おつけ,165,
おつむ,36,
おつもり,299,
おでき,142,
おでこ,101,
おでん,228,
おと,1973,
おとうさん,171,
おとぎ話,47,
おとこの子,1,
おとっつぁん,16,
おとど,70,
おとな,846,
おとめ,282,
おとり膳,3,
おどけ,86,
おなか,406,
おなご,234,
おなじ,308,
おなじみ,145,
おなべ,22,
おなら,23,
おにぎり,23,
おねがい,188,
おの,1595,
おのおの,407,
おはこ,49,
おはしょり,6,
おはじき,29,
おはね,2,
おはもじ,3,
おはらい,10,
おはらい箱,1,
